Nom du botnet,GameOver Zeus
nombre de bots,1 000 000
Infection,trojan et Cryptolocker
type de menace,vol de mot de passe/données bancaires et ransomware
type d'attaque,spam	
présence d'obfuscation,	
Hash,5e5e46145409fb4a5c8a004217eef836
Hash,ddc013410b944092c1eeb39699504dbfc6a90146632c93b0a6085b16aa65e802
Hash,30e2024f544fe8d904502cafd614d1fbfb30d428367a23757f2639dee0aa3cc6
Hash,6c8a03895665575619a6193d342cdc79500680971ff4398c62a2d6e84188f49a
Domaines/URL,P2P(1000 par jour)	
Domaines/URL,cfs50p1je5ljdfs3p7n17odtuw.biz
