Nom du botnet,Mirai
nombre de bots,300 000
Infection, brute force login d'IoT   
type de menace,DDos
type d'attaque,envoi de paquets de données
présence d'obfuscation,
Hash,modification du hash(32000 variantes)
Domaines/URL,kankerc.queryhost.xyz 192.69.89.173 C2  server
Domaines/URL,kankerc.queryhost.xyz 154.16.199.34 C2  server
Domaines/URL,report.queryhost.xyz 192.69.89.173  report  server
Domaines/URL,report.queryhost.xyz 45.32.186.11   report  server
Domaines/URL,dongs.disabled.racing 93.158.200.126   malware  distribution             
