Nom du botnet,	Kraken-Bobax
nombre de bots,400 000
Infection,worm
type de menace,	DDos
type d'attaque,spam
présence d'obfuscation,oui
Hash,2dc0928de11577ed5ccf3679f4bd041a56a09494895d33462b02c873dd376515	
Hash,c851d4bf3a939030fe8f5820042c98677b3472f36545dfff895e25645b0f9999	
Hash,ac0558cfa97935e4dd1612e4f4a221c27bdba431aa5cc8f9696d83e7e4c5be77	
Hash,b1deddb172b35a10160b1ba5f21be2071cd9d0c8b4312408bf408f79c010d836	
Hash,ffced695fffc547abb70cd926f8d877a4e9326fa4c87415edb1d50d411871b50	
Hash,00537fa963b668e5011c1166a6d418ec36d04d2b788f464e6e0f24d8a43b851b
Domaines/URL,.mooo.com
Domaines/URL,.dynserv.com
Domaines/URL,.dyndns.org
Domaines/URL,.yi.org
Domaines/URL,eoxjsnvzuh.mooo.com
Domaines/URL,jmyyptoo.dynserv.com
Domaines/URL,hrlgrh.dyndns.org
Domaines/URL,uvjvvqpjl.yi.org
Domaines/URL,20X.X9.34.132
Domaines/URL,1X3.2X5.15.189
